name,id,lon,lat
ДУНАЇВЦІ,118,26.8399244,49.022305
ЕЛЕЦ,119,38.5257962,52.6061309
ЕСЕНЬ,120,22.3139924,48.3951363
ЕССЕНТУКИ,121,42.8543592,44.0482243
ЕСХАР,122,36.5644128,49.8278231
ЕФРЕМОВ,123,38.1255529,53.1486167
ЖЕРЕБКОВЕ,124,29.8763173,47.8365182
ЖИДАЧІВ,125,24.1578168,49.3778364
ЖИТОМИР,126,28.6987568,50.2684766
ЖМЕРИНКА,127,28.1119967,49.0340265
ЖОВТНЕВА,128,31.9744825,46.8393946
ЖОДИНО,129,28.340996,54.1022401
ЖОРНАВА,130,22.6329601,48.9869012
ЖУКОТКИ,131,31.012306,51.5023864
ЗАКУПНЕ,132,26.3204147,49.1119092
ЗАЛІЩИКИ,133,25.7384967,48.6453913
ЗАПЛАЗИ,134,30.1237609,47.8590743
ЗАПОВІТНЕ,135,33.558835,46.7739993
ЗАПОРІЖЖЯ-ВАНТАЖНЕ,136,35.2570475,47.8554368
ЗАПОРІЖЖЯ-ЛІВЕ,137,35.2285115,47.8788032
ЗАСІЛЛЯ,138,32.4206833,47.0249643
ЗАСУЛЛЯ,139,33.4897977,50.7013133
ЗАТИШШЯ,140,29.8787023,47.3359765
ЗБАРАЖ,141,25.7629638,49.6779581
ЗВЕНИГОРОДКА,142,30.983284,48.9824045
ЗДОЛБУНІВ,143,26.2569062,50.5279901
ЗЕЛЕНЕ ПОЛЕ,144,33.6600013,47.5566537
ЗЛОЧІВ,145,24.8902296,49.789464
ЗНАМ’ЯНКА,146,32.6580952,48.7158834
ЗОЛОТНИШИНЕ,147,33.6449094,49.019022
ЗЯТКІВЦІ,148,29.4456187,48.7102903
ИСАКОГОРКА,149,40.6090288,64.4291407
КІВЕРЦІ,150,25.4622891,50.8303663
КІНЕЦЬПІЛЬ,151,30.8446581,47.9672118
КАВУНИ,152,31.2728684,47.9101104
КАГАМЛИЦЬКА,153,33.4507794,49.1327278
КАЗНАЧЕЕВКА,154,37.5455393,54.0526021
КАЛИНКОВИЧИ,155,29.3134619,52.1389091
КАЛУШ,156,24.3489717,49.0126164
КИЇВ-ВОЛИНСЬКИЙ,157,30.4314658,50.4120772
КИЇВ-ДЕМІЇВСЬКИЙ,158,30.5366674,50.4050787
КИЇВ-ДНІПРОВСЬКИЙ,159,30.5963979,50.4615058
КИЇВ-ЛІСКИ,160,30.6621395,50.4487767
КИЇВ-ПАСАЖИРСЬКИЙ,161,30.4886551,50.4398558
КЛЕВАНЬ,162,26.0277736,50.7513761
КЛЕПАРІВ,163,23.9805606,49.8554619
КНЯЖЕВЕ,164,28.8129397,48.4718816
КОБЕЛЯКИ,165,34.1036723,49.2307042
КОВЕЛЬ,166,24.7124893,51.2212513
КОДИМА,167,29.1213883,48.0912018
КОДНЯ,168,28.6646161,50.1077887
КОЗЕНКИ,169,29.1806183,52.0318246
КОЗОВА,170,25.1642758,49.4294691
КОЙТЫ,171,50.6817021,61.8499859
КОЛОМИЯ,172,25.0603855,48.5346411
КОЛЯДИЧИ,173,27.5797714,53.8080972
КОМАРІВЦІ,174,27.6637464,49.1957684
КОМБИНАТСКАЯ,175,59.413981,54.3309678
КОМИШ-ЗОРЯ,176,36.6985604,47.3279536
КОНОНІВКА,177,32.1065118,50.1775381
КОНОТОП,178,33.1878626,51.2231538
КОРИСТІВКА,179,33.0662318,48.7321503
КОРОБОЧКИНЕ,180,36.7424494,49.7711094
КОРОЛІВКА,181,33.2233485,48.5797631
КОРОСТЕНЬ,182,28.6350547,50.9575934
КОРОСТЕНЬ-ПОДІЛЬСЬКИЙ,183,28.6131438,50.9846132
КОРОСТИШІВ,184,29.0202382,50.3162698
КОРЧАКІВКА,185,35.1373878,50.8199659
КОРЮКІВКА,186,32.2437562,51.7620758
КОСТОПІЛЬ,187,26.443516,50.8711091
КОСТЮКОВКА,188,30.9408369,52.5240723
КОСТЯНТИНІВКА,189,37.7293414,48.5117835
КОСЯКОВКА,190,56.0058711,53.7054698
КОТЕЛ,191,37.9062162,51.2262752
КОЧУБЕЇВКА,192,34.9710269,49.7431839
КРАМАТОРСЬК,193,37.5436075,48.7257049
КРАСИЛІВ,194,27.0130849,49.6695654
КРАСНОГРАД,195,35.4456639,49.3605079
КРАСНОЯРСК-СЕВЕРНЫЙ,196,92.933153,56.0731574
КРЕМЕНЧУК,197,33.4282669,49.0677957
КРЕМИДІВКА,198,30.7846571,46.7373416
КРЕСТЫ,199,37.1039421,55.2758332
КРИВИЙ РІГ-ГОЛОВНИЙ,200,33.4516136,47.9125695
КРИВИЙ РІГ-ЗАХІДНИЙ,201,33.3109968,47.8800441
КРИВИЙ ТОРЕЦЬ,202,37.7816466,48.4089475
КРИВИН,203,26.7002548,50.3616282
КРИЖОПІЛЬ,204,28.8650603,48.3792509
КРОЛЕВЕЦЬ,205,33.3628189,51.5515264
КРОМСКАЯ,206,36.0577763,52.9413983
КРОПИВНИЦЬКИЙ,207,32.2603995,48.5237848
КСЕНІЄВЕ,208,30.6215263,46.3633433
КУЛИНДОРОВЕ,209,30.7930894,46.633581
КУЛЬБАКИНЕ,210,32.0695448,46.91525
КУП’ЯНСЬК-ВУЗЛОВИЙ,211,37.6441755,49.6526207
КУЦІВКА,212,32.7918967,48.3139525
КУЧУРГАН,213,30.0022967,46.7538749
КУШУГУМ,214,35.1946405,47.7223523
ЛІВОБЕРЕЖНА,215,33.2677992,49.1291161
ЛІЩИНІВКА,216,34.2669373,49.2601553
ЛАДИЖИН,217,29.2399939,48.6303524
ЛАНІВЦІ,218,26.0833846,49.8742014
ЛЕБЕДИНСЬКА,219,34.4909165,50.5691508
ЛЕГЕНДАРНА,220,36.9890981,48.6433464
ЛЕСОК,221,39.7957133,54.5854401
ЛИДА,222,25.2945989,53.8815132
ЛИМАН,223,37.8252571,48.9657163
ЛИНОВИЦЯ,224,32.3759638,50.4725147
ЛИПОВЕЦЬ,225,29.2283606,49.2475242
ЛИХАЧОВЕ,226,36.2080758,49.3821469
ЛОЗОВА,227,36.3190017,48.8913879
ЛОСКУТІВКА,228,38.4183192,48.8039336
ЛОЩИННАЯ,229,56.0981298,54.8717799
ЛУБНИ,230,32.9752521,50.0203524
ЛУНИНЕЦ,231,26.8069649,52.2437988
ЛУЦЬК,232,25.3510605,50.7579735
ЛЮБАШІВКА,233,30.267114,47.8467753
ЛЮБОМИРСЬК,234,26.3748499,50.7679534
ЛЮБОТИН-ЗАХІДНИЙ,235,35.8508945,49.9532006
ЛЮДМИЛІВКА,236,31.448659,48.032768
МАГНИТОГОРСК-ГРУЗОВОЙ,237,59.0799123,53.4631429
МАКСИМІВКА-ТЕРНОПІЛЬСЬКА,238,25.9060744,49.5965503
МАЛИН,239,29.2954918,50.7746435
МАНЕВИЧІ,240,25.533395,51.2930963
МАРІУПОЛЬ,241,37.5550732,47.0850013
МАРІУПОЛЬ-ПОРТ,242,37.5065311,47.0631561
МЕЖОВА,243,36.7321583,48.2496719
МЕЛІТОПОЛЬ,244,35.3566416,46.8679555
МЕРЕФА,245,36.0476604,49.8235636
МИКОЛАЇВ,246,32.0626947,46.9380295
МИКОЛАЇВ-ВАНТАЖНИЙ,247,31.975646,46.9574246
МИКОЛАЇВКА-ДОНЕЦЬКА,248,36.3474071,48.3789549
МИКУЛИНЦІ-СТРУСІВ,249,25.6495967,49.3606355
МИЛЛЕРОВО,250,40.3926924,48.9213192
МИНЕРАЛЬНЫЕ ВОДЫ,251,43.1398697,44.2138897
МИРОНІВКА,252,30.9806845,49.6482492
МОЖ,253,36.087565,49.7705316
МУДРЬОНА,254,33.3992489,47.9177298
НІГИН,255,26.604812,48.8285897
НІЖИН,256,31.8886075,51.0179844
НІКЕЛЬ-ПОБУЗЬКИЙ,257,30.6151338,48.1732521
НІКОПОЛЬ,258,34.3915318,47.5858133
НАДВІРНА,259,24.5849831,48.6241664
НАРКЕВИЧІ,260,26.6210932,49.5084877
НИЖНЕКАМСК,261,51.8105871,55.6174584
НИЖНЬОДНІПРОВСЬК,262,35.0644183,48.4983087
НИЗОВКА,263,47.104038,61.2610726
НОВІ БЕЗРАДИЧІ,264,30.623514,50.1862548
НОВІ САНЖАРИ,265,34.4042948,49.3275821
НОВА БАВАРІЯ,266,36.1600821,49.9553455
НОВА БОРОВА,267,28.624315,50.691235
