id,name,lon,lat
"20",,31.9433316666667,52.5127777777778
"47",,31.0441663888889,52.3852775
"51",,31.0858338888889,52.3819436111111
"53",,31.0638888888889,52.3744438888889
"61",,31.2102775,52.301945
"99",,33.9450008333333,52.0511111111111
"115",,33.2366666666667,51.9894455555555
"133",,33.4445458333333,51.8569852777778
"136",,33.4791658333333,51.8308327777778
"140",,33.5952883333333,51.8207338888889
"146",,31.1097219444444,51.7744441666667
"148",,33.4808341666667,51.7705555555556
"158",,33.4413880555556,51.7180555555555
"162",,32.0755544444444,51.6730558333333
"183",,26.5844452777778,51.5469436111111
"187",,31.2566647222222,51.5036108333333
"190",,30.9922213888889,51.5002783333333
"198",,26.5955555555556,51.3463894444444
"199",,26.6005563888889,51.3455558333333
"201",,28.9636108333333,51.335
"204",,26.5630572222222,51.3263883333333
"205",,28.8102772222222,51.3230541666666
"207",,26.5991677777778,51.3163888888889
"210",,26.3016652777778,51.3122216666667
"211",,26.2872222222222,51.3086111111111
"215",,26.1808330555556,51.2944441666667
"217",,28.7930547222222,51.2927786111111
"218",,26.0183330555556,51.3000002777778
"222",,28.5844427777778,51.2836111111111
"225",,24.7066688888889,51.2663897222222
"231",,33.1741644444444,51.2300002777778
"232",,24.6838902777778,51.2297216666667
"234",,24.6577780555556,51.2297216666667
"235",,24.7900019444444,51.2272225
"237",,24.6922213888889,51.2225005555556
"238",,24.6505547222222,51.2222230555556
"241",,24.7313886111111,51.2019458333333
"242",,33.3813888888889,51.1980555555555
"244",,32.8138888888889,51.1811113888889
"247",,34.165,51.1722219444445
"249",,32.7713886111111,51.1713888888889
"251",,32.7452791666667,51.1649997222222
"252",,34.2233347222222,51.1611119444444
"255",,32.841945,51.1405561111111
"257",,28.0077791666667,51.1230552777778
"258",,28.6936102777778,51.1205547222222
"261",,28.0541661111111,51.1133330555556
"262",,28.0741663888889,51.1102772222222
"266",,31.9155555555556,51.0936116666667
"267",,34.2941669444444,51.0905558333333
"269",,24.9877786111111,51.0800011111111
"275",,32.829445,51.0208341666667
"277",,31.8686105555556,51.0133325
"279",,34.445835,50.9991675
"280",,28.5225002777778,50.9849986111111
"281",,28.5745141666667,50.9721494444444
"283",,28.5330555555556,50.9586105555555
"286",,28.5916669444444,50.9427783333333
"289",,24.3905552777778,50.9341655555555
"292",,28.6816663888889,50.9322225
"293",,28.5899977777778,50.9188888888889
"294",,26.4438894444444,50.8838891666667
"296",,24.3402775,50.8711111111111
"297",,28.5774994444444,50.8636108333333
"300",,34.8777780555556,50.8427783333333
"301",,25.45111,50.8280555555555
"303",,35.1002772222222,50.8191666666667
"304",,31.5380555555556,50.8180547222222
"305",,35.0000002777778,50.8163891666667
"306",,35.0305547222222,50.8147233333333
"308",,35.7338888888889,50.7922222222222
"309",,35.6941661111111,50.7827780555556
"311",,32.3619438888889,50.7813894444444
"317",,35.7950252777778,50.7757588888889
"320",,29.33139,50.7416675
"324",,34.8413875,50.7291666666667
"325",НИЗИ,34.7733319444444,50.7722211111111
"332",,28.6236111111111,50.6991666666667
"338",,26.1544433333333,50.6861113888889
"339",,29.7188891666667,50.6772216666667
"341",,36.233485,50.6645505555556
"342",,26.2769447222222,50.6600002777778
"344",,26.2347219444444,50.6455563888889
"346",,24.3522225,50.6294427777778
"347",,34.8533341666667,50.6269436111111
"351",,32.3544447222222,50.5908338888889
"352",,36.5686105555556,50.5905547222222
"353",,27.5833322222222,50.5869447222222
"355",,32.3758316666667,50.5766652777778
"357",,27.5741666666667,50.5691666666667
"366",,28.6544455555556,50.5438880555555
"370",,30.2447216666667,50.5216663888889
"372",,26.2508333333333,50.5158333333333
"377",,30.4019438888889,50.454445
"378",,28.6830561111111,50.4530547222222
"379",,30.7055527777778,50.4530541666667
"381",,26.0072211111111,50.4477786111111
"382",,26.4633316666667,50.4380558333333
"383",,30.6638888888889,50.4333338888889
"384",,35.8508144444444,50.4286647222222
"385",,30.6517625,50.4278225
"386",,30.7122219444444,50.4224991666667
"387",,30.6283327777778,50.4197225
"388",,30.4402775,50.4197219444444
"390",,30.5497211111111,50.4030561111111
"393",,30.4005558333333,50.3933336111111
"394",,24.20639,50.3836105555556
"395",,35.8686116666667,50.3802797222222
"396",,36.8397211111111,50.3774988888889
"397",,33.4413891666667,50.3733322222222
"399",,30.9422219444444,50.3708330555556
"401",,35.0977772222222,50.3511097222222
"402",,26.7238738888889,50.34876
"407",,26.8111108333333,50.3319441666667
"408",,25.6602772222222,50.3316658333333
"410",,26.8724997222222,50.3211116666667
"411",,35.0000011111111,50.3166666666667
"414",,28.9799997222222,50.315555
"416",,28.5897230555556,50.3111111111111
"418",,24.2322244444444,50.3086111111111
"424",,28.6955561111111,50.2902777777778
"426",,24.6241675,50.2902772222222
"432",,30.2441663888889,50.2330569444444
"433",,23.6233322222222,50.2319441666667
"434",,26.9913891666667,50.2269441666667
"435",,28.7480563888889,50.2172236111111
"436",,30.1941669444444,50.2163888888889
"438",,27.1083336111111,50.1958333333333
"441",,28.7244441666667,50.1913891666666
"444",,27.0855569444444,50.1855555555556
"446",,35.4416666666667,50.1622222222222
"448",,29.0780561111111,50.1425005555555
"451",,27.4677775,50.1327780555556
"452",,32.4088888888889,50.1299994444444
"453",,32.4527777777778,50.1275002777778
"454",,27.0308325,50.1194447222222
"456",,28.6663888888889,50.1083336111111
"458",,29.9594444444444,50.0955561111111
"459",,24.3197222222222,50.0783336111111
"462",,29.9052777777778,50.0672225
"466",,29.4950002777778,50.0516663888889
"468",,29.9499986111111,50.0327777777778
"469",,29.8294447222222,50.0094441666667
